Survey_Institution_Code,Survey_Institution_Name,Survey_Academic_Year,Survey_Department,Survey_Academic_Policies,Survey_Faculty_Library,Survey_Faculty_Promotion,Survey_Faculty_Research_Facilities,Survey_Faculty_Teaching,Survey_Faculty_Work_Environment,Survey_Staff_Development,Survey_Staff_Appreciation,Survey_Staff_Manager,Survey_Staff_Promotion,Survey_Staff_Work_Condition,Survey_Number_Faculty_Respondents,Survey_Number_Staff_Respondents,Last_Updated
83,British University in Dubai,202425,Islamic Studies,71,3,66,92,97,37,92,12,14,25,46,22,16,2024-07-28
79,University of Sharjah,202425,Physics,94,94,55,54,12,88,71,83,25,51,84,81,87,2025-01-04
78,American University of Sharjah,202526,History,26,85,75,83,41,75,7,58,94,12,24,21,95,2021-12-30
79,University of Sharjah,202526,Mechanical Engineering,100,77,1,6,38,12,2,29,52,10,83,55,56,2021-11-09
76,Zayed University,202425,Law,11,82,32,59,75,5,53,90,85,7,58,23,23,2023-09-22
81,Ajman University,202425,Education,27,80,53,31,77,64,19,32,15,43,53,50,9,2021-04-17
84,Dubai Medical College,202425,Education,46,33,50,2,22,52,100,11,2,18,71,33,60,2020-05-06
80,Abu Dhabi University,202526,Marketing,86,45,85,59,80,24,58,13,19,76,30,3,6,2023-03-19
81,Ajman University,202425,Mathematics,34,52,96,31,87,79,91,54,46,14,78,29,57,2022-12-26
79,University of Sharjah,202425,Nursing,59,66,70,31,16,22,52,34,10,89,12,98,33,2023-04-01
81,Ajman University,202526,Arabic Studies,25,57,66,14,93,16,28,98,38,4,27,12,1,2022-06-03
78,American University of Sharjah,202526,Biology,76,18,79,42,44,59,82,41,38,28,24,31,68,2020-05-04
79,University of Sharjah,202425,Sociology,84,75,79,98,53,55,70,26,43,1,76,69,92,2023-05-08
81,Ajman University,202425,Chemistry,56,19,76,94,11,31,33,89,95,62,8,62,55,2020-06-30
84,Dubai Medical College,202425,English Literature,43,85,100,71,25,86,76,77,81,90,9,13,46,2024-08-02
78,American University of Sharjah,202425,Computer Science,69,72,52,95,40,11,2,66,21,59,52,8,7,2021-09-09
77,Khalifa University,202425,Medicine,60,31,42,83,90,35,97,41,11,14,97,20,20,2020-02-14
80,Abu Dhabi University,202526,Accounting,100,92,8,73,41,23,99,40,42,55,7,17,55,2023-03-24
79,University of Sharjah,202425,Computer Science,90,12,51,98,92,21,85,95,70,58,39,42,47,2023-01-23
80,Abu Dhabi University,202425,Sociology,98,97,18,33,59,33,27,32,28,66,55,93,99,2025-07-04
76,Zayed University,202425,History,72,46,90,38,86,62,23,43,60,97,87,79,71,2023-02-17
80,Abu Dhabi University,202425,Biology,90,38,56,34,99,22,40,86,7,72,80,96,99,2023-05-31
83,British University in Dubai,202526,Law,64,14,72,97,35,88,70,71,72,25,15,19,8,2025-01-31
83,British University in Dubai,202526,Law,45,8,74,99,47,56,84,75,73,17,6,52,57,2025-06-25
